Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	root_freqs[1]	root_freqs[2]	tree_length
0	-58.03812	-101.514	43.47588	0.2579495	0.5208701	0.915553	0.0844472	0.9250744
6	-44.86081	-86.90002	42.03922	0.7461806	1.707792	0.974219	0.0257808	0.585812
12	-46.29832	-90.84175	44.54343	0.4764864	0.09752137	0.793037	0.206963	0.5084143
18	-46.75016	-90.2315	43.48135	0.3239193	0.6296352	0.955068	0.044932	0.4892418
24	-51.17565	-95.09345	43.9178	0.2322769	0.3480911	0.935828	0.0641722	0.8074798
30	-55.35242	-99.19908	43.84666	0.2156782	0.4269055	0.666404	0.333596	0.7075893
36	-51.73706	-94.46927	42.73221	0.08387297	1.569592	0.980253	0.0197475	0.7232183
42	-53.63672	-96.69786	43.06113	0.3018808	0.9408725	0.764597	0.235403	0.7061915
48	-52.56668	-95.88316	43.31648	0.2662669	0.6744363	0.958362	0.0416377	0.8402088
54	-58.04467	-101.9945	43.94986	0.7347182	0.1647939	0.834493	0.165507	0.3241116
60	-58.91329	-101.8431	42.92985	0.7481238	0.6898607	0.753733	0.246267	0.666766
66	-52.90203	-96.13372	43.23169	0.2577373	0.6898607	0.631701	0.368299	0.9243786
72	-51.13132	-95.3808	44.24948	0.1863211	0.2664807	0.606921	0.393079	0.6500899
78	-51.36895	-95.90183	44.53288	0.2366982	0.1243242	0.474694	0.525306	0.8152253
84	-48.44487	-92.26825	43.82338	0.3413359	0.2882403	0.437293	0.562707	0.9471472
90	-55.5888	-97.85909	42.2703	0.6817298	1.487921	0.667627	0.332373	0.5158626
96	-51.84587	-96.39611	44.55024	0.2994953	0.1374041	0.533753	0.466247	0.5825126
102	-48.68671	-91.59959	42.91288	1.431479	0.2511109	0.900034	0.0999662	0.2630015
108	-48.20545	-91.56817	43.36272	0.884081	0.366676	0.916749	0.0832507	0.4881005
114	-49.14301	-92.91071	43.7677	0.6836565	0.226703	0.912309	0.0876907	0.7960894
120	-57.61755	-100.2759	42.65839	0.423229	0.3636524	0.908307	0.0916931	1.696768
126	-51.82514	-94.3986	42.57347	0.2888168	0.4813638	0.908307	0.0916931	1.696768
132	-50.6147	-94.22447	43.60977	0.2492289	0.4813638	0.738187	0.261813	0.8567398
138	-46.47922	-90.43022	43.95101	0.1698233	0.3200697	0.738187	0.261813	0.9151246
144	-46.24308	-89.56515	43.32207	0.9806775	0.3271666	0.871281	0.128719	0.6281606
150	-47.31591	-91.43862	44.12271	0.9142315	0.02563286	0.486542	0.513458	0.19924
156	-49.63297	-93.17295	43.53998	1.057836	0.1229707	0.906445	0.0935552	0.19924
162	-55.87878	-99.44971	43.57093	1.006068	0.2260432	0.51884	0.48116	0.4607039
168	-56.20708	-99.64877	43.44169	1.118648	0.1432637	0.519973	0.480027	0.2125867
174	-45.98813	-89.28466	43.29653	0.7614402	0.403519	0.94046	0.0595405	0.2959993
180	-49.87208	-93.56469	43.69261	0.720613	0.2557459	0.329627	0.670373	0.3188672
186	-52.04094	-94.65468	42.61374	0.5672143	1.070049	0.991582	0.00841765	0.7870328
192	-52.65644	-96.45563	43.79918	0.07466738	0.3115562	0.988328	0.0116725	1.171848
198	-54.47381	-99.18933	44.71552	0.07057779	0.118781	0.925399	0.074601	0.8217156
204	-53.49332	-96.10761	42.6143	1.383192	0.3328273	0.864686	0.135314	0.1984425
210	-48.87346	-92.84743	43.97397	0.8856523	0.1378318	0.619745	0.380255	0.4798151
216	-49.28764	-93.75073	44.46309	0.537409	0.1010336	0.999538	0.000461792	0.5495563
222	-50.16551	-92.76182	42.59631	0.7767763	0.9948016	0.991869	0.00813077	0.5302682
228	-48.85983	-90.2443	41.38447	1.496789	0.9948016	0.997243	0.00275703	0.1522502
234	-50.307	-91.85933	41.55233	1.322101	1.407221	0.993479	0.006521	0.280522
240	-49.82396	-93.45147	43.62751	0.7898349	0.2865487	0.993559	0.00644054	0.5609513
246	-53.35783	-95.78104	42.42321	0.2679828	1.84558	0.995131	0.00486947	0.6030627
