Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-50.97966	-94.23485	43.25518	0.0198125	0.0135316	0.00468086	0.0256479	0.0336485	0.0296889	0.0032992	0.0123097	0.000883226	0.0601166	0.0443528	0.00866933	0.037883	0.0872648	0.0504103	0.0171849	0.0160891	0.0383734	0.0347218	0.0242053	0.00915153	0.0577465	0.0144573	0.0779554	0.00888853	0.063152	0.0228255	0.0262354	0.0623172	0.0607999	0.00736528	0.0150284	0.00240007	0.027556	0.00842821	1.335555	0.6644453	0.561447	0.754635	0.915917	1.0918	1.32514	1.78111	0.4173829	0.4975051	0.0192901	0.0131748	0.00455744	0.0249716	0.0327613	0.0289061	0.00321221	0.0119851	0.000859938	0.0585315	0.0431834	0.00844075	0.0368841	0.0849639	0.0490812	0.0167318	0.0156649	0.0373616	0.0338063	0.0235671	0.00891023	0.0562239	0.0140761	0.0758999	0.00865417	0.0614869	0.0222236	0.0255436	0.0606741	0.0591968	0.00717108	0.0146322	0.00233678	0.0268294	0.00820599	0.920293	0.0797067	0.9202933	1.027081
36	-54.09154	-96.7796	42.68805	0.000785905	0.0357674	0.00133935	0.00397396	0.0391162	0.00214614	0.00847404	0.00362167	0.0047739	0.0356435	0.00989695	0.00626093	0.0103742	0.0329404	0.0119492	0.0041973	0.00189327	0.018781	0.0038823	0.0220253	0.0145629	0.0157346	0.00808756	0.123282	0.00420213	0.080586	0.0707804	0.00268061	0.00965687	0.0297048	0.00759048	0.00634787	0.00111578	0.00747	0.00473566	1.148822	0.8511785	0.274368	0.532199	0.821372	1.21747	1.879	3.64474	0.9351345	0.7409145	0.00121963	0.0555067	0.00207851	0.0061671	0.0607037	0.00333055	0.0131507	0.00562038	0.00740851	0.0553144	0.0153589	0.00971621	0.0160994	0.0511194	0.0185437	0.0065137	0.00293813	0.0291459	0.00602485	0.0341806	0.0225999	0.0244182	0.0125509	0.191318	0.0065212	0.12506	0.109843	0.00415998	0.0149863	0.0460982	0.0117795	0.00985112	0.00173156	0.0115925	0.00734917	0.727876	0.272124	0.7278763	0.6443803
72	-63.01714	-106.5944	43.57728	0.000462443	0.00619603	0.0371652	0.00892947	0.00748066	0.00579221	0.00437085	0.0217178	0.0031478	0.0565452	0.0168409	0.000597116	0.00247769	0.00269043	0.0404055	0.00722102	0.0054922	0.0128691	0.00976128	0.0117371	0.00281147	0.0153134	0.0116625	0.0629147	0.00549239	0.0158792	0.00919093	0.0144352	0.0103137	0.0189119	0.00121866	0.0196513	0.00812978	0.0192143	0.00512897	1.822988	0.1770119	0.135749	0.377601	0.737976	1.35506	2.6483	7.36655	1.443932	0.09709989	0.000959089	0.0128504	0.0770794	0.0185194	0.0155146	0.0120128	0.00906499	0.0450419	0.00652843	0.117273	0.0349274	0.0012384	0.00513865	0.00557986	0.0837995	0.0149761	0.0113906	0.02669	0.0202445	0.0243422	0.0058309	0.0317595	0.0241877	0.130483	0.011391	0.0329328	0.0190617	0.0299381	0.0213903	0.0392226	0.00252746	0.040756	0.0168609	0.0398498	0.0106373	0.976965	0.0230348	0.9769652	0.4821683
108	-54.7574	-98.51684	43.75945	0.00137599	0.0159176	0.0586715	0.00225618	0.0267179	0.0368535	0.00537741	0.03003	0.0565892	0.11841	0.0662246	0.0189309	0.00531817	0.0802602	0.0256792	0.0265217	0.00199692	0.0347813	0.0389263	0.0469985	0.0428168	0.00753536	0.0302016	0.0563189	0.0017914	0.0143092	0.0524058	0.0387403	0.0266184	0.086216	0.0104901	0.00767772	0.0792722	0.0650741	0.0204948	1.588459	0.4115413	0.79744	0.895484	0.966146	1.03504	1.11671	1.25401	0.1636658	0.2590822	0.00111164	0.0128596	0.0473998	0.00182273	0.021585	0.0297734	0.00434433	0.0242607	0.0457175	0.095662	0.0535018	0.0152939	0.00429647	0.064841	0.0207459	0.0214265	0.00161328	0.0280992	0.0314479	0.0379694	0.0345911	0.0060877	0.0243994	0.0454992	0.00144725	0.0115602	0.0423378	0.0312977	0.0215046	0.0696526	0.00847479	0.00620271	0.0640428	0.0525724	0.0165575	0.89744	0.10256	0.8974403	1.2378
144	-55.54743	-99.47263	43.92521	0.00629012	0.0240545	0.00953581	0.000331496	0.0341572	0.00313165	0.000380811	0.023498	0.0101597	0.0345419	0.0116513	0.0151462	0.021427	0.0515149	0.00182933	0.0118963	0.013062	0.00905001	0.0042674	0.0171444	0.0432035	0.0146998	0.0273864	0.148792	0.000368989	0.0142908	0.0131143	0.00401091	0.00457759	0.0724122	0.0537945	0.00563374	0.02249	0.0243539	0.0101086	1.742437	0.257563	0.332367	0.584375	0.845692	1.18246	1.71123	3.00872	0.796472	0.1478177	0.00825142	0.0315549	0.0125092	0.000434859	0.0448076	0.00410813	0.000499551	0.0308249	0.0133275	0.0453123	0.0152843	0.0198689	0.0281081	0.0675777	0.00239973	0.0156056	0.0171348	0.0118719	0.00559801	0.0224902	0.0566746	0.0192833	0.0359258	0.195186	0.000484043	0.0187468	0.0172035	0.00526155	0.00600492	0.094991	0.0705681	0.00739039	0.0295026	0.0319476	0.0132605	0.561203	0.438797	0.5612031	0.7623067
180	-49.7633	-92.87202	43.10872	0.00171582	0.0146384	0.0111327	0.0121603	0.0535034	0.00195646	0.0055378	0.0386254	0.00894916	0.0131396	0.00169957	0.017596	0.0194201	0.0275747	0.00410509	0.0100481	0.00693817	0.00117707	0.00421659	0.0440867	0.00593477	0.0100666	0.000644889	0.00734842	0.0168025	0.0101837	0.00698054	0.00258913	0.00150961	0.0211496	0.02087	0.00576494	0.00680365	0.0346711	0.0249139	1.186288	0.8137122	0.424956	0.658783	0.877912	1.13907	1.51795	2.35319	0.6187811	0.6859315	0.00361641	0.0308531	0.0234643	0.02563	0.112768	0.0041236	0.0116719	0.0814102	0.018862	0.027694	0.00358217	0.0370869	0.0409315	0.0581187	0.00865223	0.0211782	0.0146235	0.00248088	0.00888723	0.0929209	0.0125086	0.0212172	0.00135922	0.0154881	0.0354144	0.0214639	0.0147128	0.00545708	0.00318178	0.0445766	0.0439874	0.0121507	0.0143399	0.0730757	0.0525107	0.938057	0.0619435	0.9380565	0.4744544
216	-50.14613	-93.38555	43.23942	0.0517968	0.0138365	0.0418944	0.000580947	0.00392533	0.00511579	0.00258567	7.52591e-05	0.00515844	0.0173456	0.00589749	0.00896317	0.0408614	0.0426503	0.0194348	0.00673965	0.00993529	0.0558699	0.0044054	0.00482729	0.033612	0.0358832	0.0190804	0.0344323	0.000988937	0.000529744	0.0193511	0.0153615	0.0561457	0.0435337	0.00754594	0.00939363	0.124648	0.000988286	0.00412539	1.012227	0.9877728	0.918189	0.959228	0.987097	1.01307	1.04251	1.0891	0.06171567	0.975841	0.0692916	0.0185099	0.0560445	0.000777167	0.00525114	0.0068437	0.00345901	0.000100679	0.00690075	0.0232042	0.00788942	0.0119906	0.0546627	0.0570558	0.025999	0.00901602	0.013291	0.0747404	0.00589336	0.00645775	0.0449647	0.0480031	0.025525	0.0460621	0.00132296	0.000708669	0.0258871	0.0205499	0.0751093	0.0582376	0.0100946	0.0125664	0.166749	0.00132209	0.00551877	0.965375	0.0346251	0.9653749	0.7475193
252	-54.71926	-97.42727	42.70801	0.0123306	0.0233346	0.0114664	0.0125493	0.0131362	0.0196868	0.0263608	0.00875568	0.0173231	0.0335119	0.00906607	0.0100165	0.0381776	0.0613149	0.0151813	0.0138046	0.0141546	0.0140403	0.00705707	0.0451231	0.0189134	0.00971122	0.00473172	0.0196019	0.0108675	0.0100403	0.0254517	0.0238971	0.00799799	0.0368632	0.0601938	0.0799373	0.0385157	0.0302563	0.0319199	0.774113	1.225887	0.954245	0.977418	0.992899	1.00715	1.0231	1.04795	0.03386465	1.583602	0.0151242	0.0286212	0.0140642	0.0153924	0.0161123	0.024147	0.032333	0.0107393	0.0212478	0.0411042	0.01112	0.0122857	0.046827	0.0752062	0.0186208	0.0169321	0.0173614	0.0172213	0.0086559	0.0553461	0.0231983	0.0119114	0.00580373	0.0240429	0.0133296	0.0123151	0.0312179	0.0293111	0.00980999	0.0452148	0.0738311	0.0980477	0.0472417	0.0371111	0.0391515	0.75052	0.24948	0.75052	0.8152904
288	-58.09686	-99.74556	41.6487	0.000218823	0.0214875	0.00319687	0.00402107	0.00195691	0.000845015	0.0145267	0.000594581	0.0153285	0.016627	0.00558715	0.00857996	0.00626042	0.0335498	0.0110664	0.002952	0.0084826	0.0164577	0.00182365	0.00627262	0.00622205	0.00148362	0.00486879	0.0205947	0.000373653	0.0203235	0.0130706	0.00195377	0.0051786	0.00117264	0.00635955	0.0437877	0.00407288	0.0141896	0.0137806	0.7521601	1.24784	0.214117	0.471581	0.790962	1.26428	2.12053	4.67035	1.114418	1.659008	0.00064881	0.0637105	0.00947875	0.0119225	0.00580224	0.00250547	0.0430717	0.00176293	0.0454492	0.0492992	0.0165659	0.0254396	0.0185622	0.0994752	0.032812	0.0087527	0.0251509	0.0487972	0.00540713	0.0185984	0.0184484	0.00439894	0.014436	0.0610634	0.00110788	0.0602593	0.0387545	0.00579294	0.0153546	0.00347689	0.0188561	0.129831	0.0120761	0.0420722	0.0408594	0.975316	0.0246844	0.9753156	0.3372676
324	-55.56019	-99.05484	43.49465	0.000716818	0.0024966	0.00569696	0.0104608	0.0078844	0.00521567	0.00642961	0.0179302	0.0131688	0.00455425	0.0133779	0.0028054	0.00443376	0.0523908	0.00389691	0.000617971	0.00730673	0.0285277	0.0211416	0.0294151	0.00914274	0.0350503	0.0151149	0.0057585	0.00615592	0.0224015	0.00999391	0.00319649	0.00338182	0.00206896	0.0111619	0.0574805	0.0241938	0.0224536	0.00766808	1.519259	0.4807414	0.304959	0.560355	0.83469	1.19805	1.78458	3.27913	0.8587009	0.3164316	0.00151326	0.00527052	0.0120267	0.0220835	0.0166446	0.0110107	0.0135734	0.037852	0.0278004	0.00961438	0.0282419	0.00592242	0.00936002	0.110601	0.00822669	0.00130459	0.0154251	0.0602244	0.0446317	0.0620976	0.0193011	0.0739941	0.0319087	0.0121567	0.0129956	0.0472915	0.021098	0.00674805	0.0071393	0.00436774	0.0235636	0.121346	0.0510751	0.0474014	0.0161879	0.922293	0.0777073	0.9222927	0.4736909
